trial,ID,filename,Category,Valence,val_bin,condition,Valence_group
1,Landscapes_118_v,Landscapes_118_v.jpg,Landscapes,3.08,4-Mar,FEEL,Neg
2,People_241_h,People_241_h.jpg,People,2.52,3-Feb,TONE,Neg
3,Landscapes_033_h,Landscapes_033_h.jpg,Landscapes,4.52,5-Apr,FEEL,Neu
4,Faces_365_v,Faces_365_v.jpg,Faces,1.98,2-Jan,TONE,Neg
5,People_186_h,People_186_h.jpg,People,7.55,8-Jul,FEEL,Pos
6,Animals_039_h,Animals_039_h.jpg,Animals,2.46,3-Feb,TONE,Neg
7,Faces_189_v,Faces_189_v.jpg,Faces,5.56,6-May,TONE,Neu
8,Faces_259_v,Faces_259_v.jpg,Faces,6.02,7-Jun,TONE,Neu
9,Animals_132_h,Animals_132_h.jpg,Animals,7.08,8-Jul,FEEL,Pos
10,Faces_142_h,Faces_142_h.jpg,Faces,4.3,5-Apr,FEEL,Neu
11,People_054_h,People_054_h.jpg,People,7.55,8-Jul,FEEL,Pos
12,People_110_h,People_110_h.jpg,People,8.11,9-Aug,FEEL,Pos
13,Animals_203_h,Animals_203_h.jpg,Animals,6.35,7-Jun,FEEL,Pos
14,Animals_068_h,Animals_068_h.jpg,Animals,2.56,3-Feb,FEEL,Neg
15,Animals_209_h,Animals_209_h.jpg,Animals,5.65,6-May,FEEL,Neu
16,Faces_098_h,Faces_098_h.jpg,Faces,6.92,7-Jun,FEEL,Pos
17,Faces_136_v,Faces_136_v.jpg,Faces,7.46,8-Jul,TONE,Pos
18,Landscapes_134_h,Landscapes_134_h.jpg,Landscapes,7.66,8-Jul,FEEL,Pos
19,Animals_042_h,Animals_042_h.jpg,Animals,2.82,3-Feb,FEEL,Neg
20,Faces_192_h,Faces_192_h.jpg,Faces,5.43,6-May,TONE,Neu
21,People_211_v,People_211_v.jpg,People,1.88,2-Jan,FEEL,Neg
22,Faces_145_v,Faces_145_v.jpg,Faces,2.29,3-Feb,FEEL,Neg
23,Animals_077_h,Animals_077_h.jpg,Animals,2.02,3-Feb,TONE,Neg
24,People_215_h,People_215_h.jpg,People,2.59,3-Feb,FEEL,Neg
25,People_246_h,People_246_h.jpg,People,1.96,2-Jan,FEEL,Neg
26,Objects_109_h,Objects_109_h.jpg,Objects,3.59,4-Mar,TONE,Neg
27,People_068_h,People_068_h.jpg,People,7.11,8-Jul,TONE,Pos
28,Faces_204_v,Faces_204_v.jpg,Faces,4.23,5-Apr,TONE,Neu
29,Faces_213_v,Faces_213_v.jpg,Faces,5.84,6-May,FEEL,Neu
30,Animals_212_v,Animals_212_v.jpg,Animals,6.68,7-Jun,TONE,Pos
31,Faces_064_h,Faces_064_h.jpg,Faces,6.04,7-Jun,TONE,Neu
32,Objects_144_h,Objects_144_h.jpg,Objects,3,3-Feb,FEEL,Neg
33,People_088_v,People_088_v.jpg,People,3.24,4-Mar,TONE,Neg
34,Animals_158_h,Animals_158_h.jpg,Animals,7.51,8-Jul,TONE,Pos
35,Objects_164_h,Objects_164_h.jpg,Objects,4.25,5-Apr,FEEL,Neu
36,Animals_156_h,Animals_156_h.jpg,Animals,7.86,8-Jul,TONE,Pos
37,Faces_277_h,Faces_277_h.jpg,Faces,4.77,5-Apr,FEEL,Neu
38,Faces_281_h,Faces_281_h.jpg,Faces,4.5,5-Apr,FEEL,Neu
39,Faces_121_h,Faces_121_h.jpg,Faces,6.84,7-Jun,FEEL,Pos
40,People_009_h,People_009_h.jpg,People,2.7,3-Feb,TONE,Neg
41,Animals_057_h,Animals_057_h.jpg,Animals,2.92,3-Feb,TONE,Neg
42,Animals_043_h,Animals_043_h.jpg,Animals,5.3,6-May,FEEL,Neu
43,Landscapes_075_h,Landscapes_075_h.jpg,Landscapes,6.15,7-Jun,TONE,Neu
44,Objects_033_h,Objects_033_h.jpg,Objects,6.73,7-Jun,FEEL,Pos
45,Objects_081_h,Objects_081_h.jpg,Objects,7.16,8-Jul,FEEL,Pos
46,People_006_h,People_006_h.jpg,People,3.65,4-Mar,FEEL,Neg
47,Objects_007_h,Objects_007_h.jpg,Objects,2.98,3-Feb,FEEL,Neg
48,Objects_250_h,Objects_250_h.jpg,Objects,5.98,6-May,TONE,Neu
49,Objects_121_v,Objects_121_v.jpg,Objects,3.04,4-Mar,FEEL,Neg
50,Objects_002_h,Objects_002_h.jpg,Objects,2.66,3-Feb,TONE,Neg
51,Objects_225_h,Objects_225_h.jpg,Objects,4.13,5-Apr,FEEL,Neu
52,Objects_234_h,Objects_234_h.jpg,Objects,4.43,5-Apr,FEEL,Neu
53,Objects_214_h,Objects_214_h.jpg,Objects,5.78,6-May,TONE,Neu
54,Landscapes_147_h,Landscapes_147_h.jpg,Landscapes,7.39,8-Jul,TONE,Pos
55,Animals_047_h,Animals_047_h.jpg,Animals,4.94,5-Apr,TONE,Neu
56,People_179_h,People_179_h.jpg,People,7.25,8-Jul,FEEL,Pos
57,Animals_053_h,Animals_053_h.jpg,Animals,3.49,4-Mar,TONE,Neg
58,Objects_096_v,Objects_096_v.jpg,Objects,7.46,8-Jul,TONE,Pos
59,Faces_118_h,Faces_118_h.jpg,Faces,7.12,8-Jul,TONE,Pos
60,Objects_135_h,Objects_135_h.jpg,Objects,3.92,4-Mar,FEEL,Neu
61,Faces_153_v,Faces_153_v.jpg,Faces,2.65,3-Feb,FEEL,Neg
62,People_036_h,People_036_h.jpg,People,4.77,5-Apr,FEEL,Neu
63,Landscapes_037_v,Landscapes_037_v.jpg,Landscapes,5.87,6-May,FEEL,Neu
64,Landscapes_103_v,Landscapes_103_v.jpg,Landscapes,7.83,8-Jul,TONE,Pos
65,People_056_h,People_056_h.jpg,People,5.53,6-May,TONE,Neu
66,Faces_288_h,Faces_288_h.jpg,Faces,3.51,4-Mar,FEEL,Neg
67,People_229_h,People_229_h.jpg,People,3.9,4-Mar,TONE,Neu
68,People_145_h,People_145_h.jpg,People,3.11,4-Mar,FEEL,Neg
69,Animals_072_h,Animals_072_h.jpg,Animals,5,5-Apr,FEEL,Neu
70,Faces_241_v,Faces_241_v.jpg,Faces,6.68,7-Jun,FEEL,Pos
71,People_038_h,People_038_h.jpg,People,1.73,2-Jan,TONE,Neg
72,Faces_046_h,Faces_046_h.jpg,Faces,6.63,7-Jun,TONE,Pos
73,Objects_181_h,Objects_181_h.jpg,Objects,4.34,5-Apr,TONE,Neu
74,Objects_183_h,Objects_183_h.jpg,Objects,6.69,7-Jun,TONE,Pos
75,Objects_089_h,Objects_089_h.jpg,Objects,5.09,6-May,FEEL,Neu
76,People_209_v,People_209_v.jpg,People,2.73,3-Feb,FEEL,Neg
77,Faces_244_h,Faces_244_h.jpg,Faces,6.84,7-Jun,FEEL,Pos
78,Objects_173_h,Objects_173_h.jpg,Objects,3.76,4-Mar,FEEL,Neu
79,People_190_h,People_190_h.jpg,People,8.22,9-Aug,TONE,Pos
80,People_132_h,People_132_h.jpg,People,4.62,5-Apr,TONE,Neu
81,People_078_v,People_078_v.jpg,People,4.98,5-Apr,TONE,Neu
82,Faces_358_h,Faces_358_h.jpg,Faces,7.49,8-Jul,FEEL,Pos
83,Objects_208_h,Objects_208_h.jpg,Objects,5.13,6-May,TONE,Neu
84,Faces_059_h,Faces_059_h.jpg,Faces,5.58,6-May,FEEL,Neu
85,Animals_114_h,Animals_114_h.jpg,Animals,6.84,7-Jun,FEEL,Pos
86,Faces_303_h,Faces_303_h.jpg,Faces,3.15,4-Mar,TONE,Neg
87,Faces_266_h,Faces_266_h.jpg,Faces,4.5,5-Apr,TONE,Neu
88,Faces_325_v,Faces_325_v.jpg,Faces,7,7-Jun,FEEL,Pos
89,Objects_233_h,Objects_233_h.jpg,Objects,3.57,4-Mar,TONE,Neg
90,Animals_013_h,Animals_013_h.jpg,Animals,2.9,3-Feb,FEEL,Neg
91,Landscapes_158_h,Landscapes_158_h.jpg,Landscapes,7.39,8-Jul,TONE,Pos
92,Animals_099_h,Animals_099_h.jpg,Animals,7.23,8-Jul,FEEL,Pos
93,Faces_034_h,Faces_034_h.jpg,Faces,3.23,4-Mar,TONE,Neg
94,Faces_060_h,Faces_060_h.jpg,Faces,5.21,6-May,TONE,Neu
95,Objects_104_v,Objects_104_v.jpg,Objects,6.68,7-Jun,TONE,Pos
96,Objects_099_h,Objects_099_h.jpg,Objects,6.4,7-Jun,FEEL,Pos
97,Landscapes_032_v,Landscapes_032_v.jpg,Landscapes,4.29,5-Apr,TONE,Neu
98,Animals_012_h,Animals_012_h.jpg,Animals,3.62,4-Mar,TONE,Neg
99,Landscapes_154_h,Landscapes_154_h.jpg,Landscapes,8.27,9-Aug,TONE,Pos
100,Animals_112_v,Animals_112_v.jpg,Animals,6.68,7-Jun,TONE,Pos
101,Faces_164_h,Faces_164_h.jpg,Faces,3.18,4-Mar,TONE,Neg
102,Faces_267_v,Faces_267_v.jpg,Faces,5.69,6-May,TONE,Neu
103,Landscapes_142_h,Landscapes_142_h.jpg,Landscapes,7.67,8-Jul,FEEL,Pos
104,Animals_148_h,Animals_148_h.jpg,Animals,5.35,6-May,FEEL,Neu
105,Faces_362_v,Faces_362_v.jpg,Faces,2.53,3-Feb,TONE,Neg
106,Faces_039_h,Faces_039_h.jpg,Faces,4.91,5-Apr,TONE,Neu
107,People_119_h,People_119_h.jpg,People,3,3-Feb,TONE,Neg
108,Faces_297_h,Faces_297_h.jpg,Faces,5.24,6-May,FEEL,Neu
109,Animals_207_h,Animals_207_h.jpg,Animals,3.06,4-Mar,FEEL,Neg
110,People_203_v,People_203_v.jpg,People,4.73,5-Apr,TONE,Neu
111,Faces_209_h,Faces_209_h.jpg,Faces,5.82,6-May,FEEL,Neu
112,Animals_082_h,Animals_082_h.jpg,Animals,5.52,6-May,TONE,Neu
